Kode Toko,NAMA TOKO,OPENING,"UMUR TOKO
(TAHUN)",JARAK TEMPUH,"WAKTU TEMPUH
(HARI:JAM:MENIT)",KATEGORI WILAYAH,KELURAHAN,KECAMATAN,KAB/KOTA,KODE POS,KOORDINAT GPS
TWOW,REST AREA KM 52 B,28-Mar-20,6,"22,1",0 hari 0 jam 24 menit,DK,PINAYUNGAN,TELUKJAMBE TIMUR,KARAWANG,41360,-6.351583 107.311369
TJL6,TAMAN PURI CENDANA,29-Mar-20,6,"59,6",0 hari 1 jam 5 menit,Menengah,TRIDAYA SAKTI,TAMBUN SELATAN,BEKASI,17510,-6.250894 107.072194
TG9P,IRIGASI CIBARUSAH,31-Mar-20,6,"54,1",0 hari 0 jam 59 menit,Menengah,WIBAWAMULYA,CIBARUSAH,BEKASI,17340,-6.412803 107.109453
TP8G,PASIR JENGKOL,31-Mar-20,6,"29,8",0 hari 0 jam 32 menit,DK,PASIRJENGKOL,MAJALAYA,KARAWANG,41370,-6.312364 107.351731
TTBB,PERMATA WISATA,31-Mar-20,6,"59,2",0 hari 1 jam 5 menit,Menengah,CIMUNING,MUSTIKAJAYA,KOTA BEKASI,17155,-6.320661 107.034533
TTLC,SAGALAHERANG SUBANG,31-Mar-20,6,53,0 hari 0 jam 58 menit,Menengah,PARUNG,SUBANG,SUBANG,41211,-6.597128 107.726156
F47B,PERMATA CIKAMPEK,22-Mei-20,6,"11,8",0 hari 0 jam 12 menit,DK,CIKAMPEK UTARA,KOTA BARU,KARAWANG,41376,-6.386028 107.463906
FRL1,RAYA KEPUH,31-Mei-20,5,"31,7",0 hari 0 jam 34 menit,DK,NAGASARI,KARAWANG BARAT,KARAWANG,41312,-6.292645 107.3071
FY9R,SULUKUNING,31-Mei-20,5,"26,8",0 hari 0 jam 29 menit,DK,SULUKUNING,JATILUHUR,PURWAKARTA,41152,"-6.574058, 107.438972"
TGQC,SEGARAN,4-Jul-20,5,"69,6",0 hari 1 jam 16 menit,Menengah,SEGARAN,BATUJAYA,KARAWANG,41354,-6.061956 107.157239
T9L8,TAMBAK DAHAN,25-Jul-20,5,"70,6",0 hari 1 jam 17 menit,Menengah,BOJONGKEDING,TAMBAK DAHAN,SUBANG,41267,-6.354814 107.849978
THMN,NAROGONG PENGASINAN,26-Jul-20,5,"60,3",0 hari 1 jam 6 menit,Menengah,PENGASINAN,RAWA LUMBU,KOTA BEKASI,17115,-6.277597 107.010358
FFII,BEKASI TIMUR REGENCY 5,28-Jul-20,5,"63,1",0 hari 1 jam 9 menit,Menengah,SUMURBATU,BATAR GEBANG,KOTA BEKASI,17154,-6.335031 107.010311
TBPY,KUSUMA UTARA,30-Jul-20,5,"62,3",0 hari 1 jam 8 menit,Menengah,DUREN JAYA,BEKASI TIMUR,KOTA BEKASI,17111,-6.23045 107.035625
T3BS,RAYA SUKAMANAH,21-Agu-20,5,"9,9",0 hari 0 jam 10 menit,DK,PUCUNG,KOTA BARU,KARAWANG,41374,-6.397404 107.470097
TKSE,KARANGSINOM,22-Agu-20,5,"13,6",0 hari 0 jam 14 menit,DK,KARANGSINOM,TIRTAMULYA,KARAWANG,41372,-6.374072 107.441556
TW7C,KARANG MUKTI,29-Agu-20,5,"44,7",0 hari 0 jam 49 menit,Menengah,KARANG MUKTI,KARANG BAHAGIA,BEKASI,17530,-6.228092 107.232747
T9ET,JATISARI BARU,26-Sep-20,5,"13,6",0 hari 0 jam 14 menit,DK,JATISARI,JATISARI,KARAWANG,41374,-6.370836 107.522175
TUFY,REST AREA KM 88 A2,16-Okt-20,5,63,0 hari 1 jam 9 menit,Menengah,SUKAJAYA,SUKATANI,PURWAKARTA,41167,-6.602428 107.428111
T4LU,KP PULO SIRIH,28-Okt-20,5,"55,4",0 hari 1 jam 0 menit,Menengah,SUKAJADI,SUKAKARYA,BEKASI,17630,-6.173415 107.190212
FWFB,PERUM BUMI PURWA RAYA,6-Nov-20,5,9,0 hari 0 jam 9 menit,DK,DANGDEUR,BUNGURSARI,PURWAKARTA,41181,-6.475258 107.464244
TB2M,RAYA MUKTIWARI,9-Nov-20,5,"62,7",0 hari 1 jam 8 menit,Menengah,MUKTIWARI,CIBITUNG,BEKASI,17520,-6.218394 107.087608
TL6I,ALUN ALUN BEKASI,10-Nov-20,5,"62,4",0 hari 1 jam 8 menit,Menengah,MARGA JAYA,BEKASI SELATAN,KOTA BEKASI,17141,-6.241367 106.999414
TQFS,REST AREA KM 72 A-3,13-Nov-20,5,"12,2",0 hari 0 jam 13 menit,DK,CIGELAM,BABAKAN CIKAO,PURWAKARTA,41151,-6.466113 107.445363
TVCF,DRIVE THRU REST AREA KM 88B,30-Nov-20,5,"98,2",0 hari 1 jam 48 menit,Menengah,SUKAJAYA,SUKATANI,PURWAKARTA,41167,-6.602306 107.424508
TC9B,DAWUAN ROYAL RESIDENCE,19-Des-20,5,"12,9",0 hari 0 jam 14 menit,DK,DAWUAN TIMUR,CIKAMPEK,KARAWANG,41373,-6.388842 107.449353
TDRB,RUKO RESINDA,8-Jan-21,5,"34,2",0 hari 0 jam 37 menit,DK,PURWADANA,TELUKJAMBE TIMUR,KARAWANG,41360,-6.299581 107.271331
TBRJ,CURUG,16-Jan-21,5,"25,1",0 hari 0 jam 27 menit,DK,CURUG,KLARI,KARAWANG,41371,-6.428511 107.382958
TEKV,BAYAN,23-Jan-21,5,"58,3",0 hari 1 jam 4 menit,Menengah,MUSTIKA JAYA,MUSTIKAJAYA,KOTA BEKASI,17158,-6.297711 107.025881
TSQW,JALAN SETIA,29-Jan-21,5,"66,1",0 hari 1 jam 12 menit,Menengah,BOJONG RAWA LUMBU,RAWA LUMBU,KOTA BEKASI,17116,-6.279589 106.994391
T5OX,GRAND WISATA 30 - 31,31-Jan-21,5,"54,1",0 hari 0 jam 59 menit,Menengah,LAMBANG SARI,TAMBUN SELATAN,BEKASI,17510,-6.278856 107.045897
TGQZ,RAYA H UMAR,14-Feb-21,5,"66,6",0 hari 1 jam 13 menit,Menengah,BEKASI SELATAN,TAMBUN SELATAN,KOTA BEKASI,17116,-6.276542 106.970211
F98S,FAMILIA URBAN,30-Mar-21,5,"64,1",0 hari 1 jam 10 menit,Menengah,MUSTIKA JAYA,MUSTIKAJAYA,KOTA BEKASI,17158,-6.303131 107.006317
TFCR,PAGON,2-Apr-21,5,"38,8",0 hari 0 jam 42 menit,DK,PAGON,PURWADADI,SUBANG,41261,-6.465786 107.700908
FBO6,CIPEUNDEUY LENGKONG,16-Apr-21,5,"30,8",0 hari 0 jam 33 menit,DK,LENGKONG,CIPEUNDEUY,SUBANG,41272,-6.511606 107.610683
FU6H,RS PERMATA KELUARGA,21-Apr-21,5,"33,9",0 hari 0 jam 37 menit,DK,SUKAHARJA,TELUKJAMBE TIMUR,KARAWANG,41360,-6.32243093 107.29150696
T2OJ,SETIA DARMA RAYA,30-Apr-21,5,"55,6",0 hari 1 jam 1 menit,Menengah,SETIADARMA,TAMBUN SELATAN,BEKASI,17510,-6.268739 107.049097
TY7G,REST AREA KM 72A-2,7-Mei-21,5,"12,1",0 hari 0 jam 13 menit,DK,CIGELAM,BABAKAN CIKAO,PURWAKARTA,41151,-6.465953 107.444764
FCSL,YON ARMED 7,10-Mei-21,5,"73,4",0 hari 1 jam 20 menit,Menengah,CIKIWUL,BANTAR GEBANG,KOTA BEKASI,17152,-6.341553 106.979547
TJMO,CIKETING UDIK,11-Mei-21,5,75,0 hari 1 jam 22 menit,Menengah,CIKETING UDIK,BANTAR GEBANG,KOTA BEKASI,17153,-6.354175 106.980475
T0DG,KK SINGAWINATA,31-Mei-21,4,"20,1",0 hari 0 jam 22 menit,DK,NAGRI KIDUL,PURWAKARTA,PURWAKARTA,41111,-6.555722 107.446844
TO5Y,BUMI PAGADEN PERMAI 2,31-Mei-21,4,"49,9",0 hari 0 jam 54 menit,Menengah,SUKAMULYA,PAGADEN,SUBANG,41251,-6.472347 107.81045
TY19,GRAND WISATA LAMONTE,11-Jun-21,4,"57,9",0 hari 1 jam 3 menit,Menengah,MUSTIKAJAYA,MUSTIKAJAYA,KOTA BEKASI,17158,-6.291411 107.034953
TLOS,AKSE TOL KALIJATI,20-Jun-21,4,"31,8",0 hari 0 jam 34 menit,DK,MARENGMANG,KALIJATI,SUBANG,41271,-6.504917 107.676994
TEQC,RAYA PINAYUNGAN,30-Jun-21,4,"25,6",0 hari 0 jam 28 menit,DK,PINAYUNGAN,TELUKJAMBE TIMUR,KARAWANG,41360,-6.347711 107.302936
FFB6,COMPRENG,9-Jul-21,4,"73,1",0 hari 1 jam 20 menit,Menengah,PUSAKARATU,PUSAKANAGARA,SUBANG,41265,-6.349685 107.874457
TKIH,RAYA CIRANGON,16-Jul-21,4,"33,2",0 hari 0 jam 36 menit,DK,CIRANGGON,MAJALAYA,KARAWANG,41370,-6.2909 107.3654
TEXX,BOJONG MANGU,31-Jul-21,4,"48,1",0 hari 0 jam 52 menit,Menengah,SUKABUNGAH,BOJONG MANGU,BEKASI,17350,-6.412223 107.19239
TQU4,GRAND GALAXY 05,7-Agu-21,4,"67,2",0 hari 1 jam 13 menit,Menengah,JAKASETIA,BEKASI SELATAN,KOTA BEKASI,17147,-6.2719 106.971264
FWOB,GONDANG,21-Agu-21,4,"58,2",0 hari 1 jam 4 menit,Menengah,CIMUNING,MUSTIKAJAYA,KOTA BEKASI,17155,-6.314614 107.036328
FCDY,BEKASI TIMUR REGENCY 7,10-Sep-21,4,62,0 hari 1 jam 8 menit,Menengah,BURANGKENG,SETU,BEKASI,17320,-6.329925 107.025875
F4UV,PERUM GRIYA INDAH CIKAMPEK,20-Sep-21,4,"8,9",0 hari 0 jam 9 menit,DK,KALIHURIP,CIKAMPEK,KARAWANG,41373,-6.421192 107.404675
T6XA,RAYA KETAPANG,30-Sep-21,4,"64,2",0 hari 1 jam 10 menit,Menengah,PEKAYONJAYA,BEKASI SELATAN,KOTA BEKASI,17148,-6.262725 106.982803
TMOX,PANGKALAN WANAKERTA,30-Sep-21,4,"37,4",0 hari 0 jam 41 menit,DK,WANAKERTA,TELUKJAMBE BARAT,KARAWANG,41361,-6.37365 107.223511
TR0L,SUKAKERTA KARAWANG,30-Sep-21,4,"36,1",0 hari 0 jam 39 menit,DK,SUKAKERTA,CILAMAYA WETAN,KARAWANG,41386,-6.216117 107.556853
TG60,BINTARA 8,2-Okt-21,4,"69,4",0 hari 1 jam 16 menit,Menengah,BINTARA,BEKASI BARAT,KOTA BEKASI,17134,-6.227325 106.956767
TP6Z,SIMPAR,2-Okt-21,4,"68,6",0 hari 1 jam 15 menit,Menengah,SIMPAR,CIPUNAGARA,SUBANG,41257,-6.44171 107.835546
TWU0,SUMMARECON KARAWANG,15-Okt-21,4,27,0 hari 0 jam 29 menit,DK,KONDANGJAYA,KARAWANG TIMUR,KARAWANG,41313,-6.322808 107.340267
TYNL,RAYA PASIR RANDU,16-Okt-21,4,"56,4",0 hari 1 jam 2 menit,Menengah,JAYASAMPURNA,SERANG BARU,BEKASI,17330,-6.398369 107.075703
TTHH,RAWAMENENG SUBANG,31-Okt-21,4,"33,7",0 hari 0 jam 37 menit,DK,RAWAMENENG,BLANAKAN,SUBANG,41259,-6.255183 107.613992
THVN,LEGON KULON,21-Nov-21,4,"55,7",0 hari 1 jam 1 menit,Menengah,LEGONKULON,LEGONKULON,SUBANG,41254,-6.244744 107.805736
TYJ5,LAMBANG JAYA,29-Nov-21,4,"57,3",0 hari 1 jam 3 menit,Menengah,LAMBANGJAYA,TAMBUN SELATAN,BEKASI,17510,-6.2802 107.056261
FPXX,PROKLAMASI KARAWANG,19-Des-21,4,"43,1",0 hari 0 jam 47 menit,Menengah,KALANGSARI,RENGASDENGKLOK,KARAWANG,41352,-6.219536 107.293242
TTDY,RAYA UBRUG,23-Des-21,4,"28,1",0 hari 0 jam 30 menit,DK,KEMBANG KUNING,JATILUHUR,PURWAKARTA,41152,-6.547164 107.419933
FTIP,PONCOL GANDARIA,29-Des-21,4,"59,2",0 hari 1 jam 5 menit,Menengah,CIBARUSAH JAYA,CIBARUSAH,BEKASI,17340,-6.426475 107.077475
F9XT,NAMIRA PENGASINAN,30-Des-21,4,60,0 hari 1 jam 6 menit,Menengah,PENGASINAN,RAWALUMBU,KOTA BEKASI,17115,-6.265669 107.008594
TJVG,RAYA BARATA,31-Des-21,4,"32,4",0 hari 0 jam 35 menit,DK,SUKALUYU,TELUKJAMBE TIMUR,KARAWANG,41630,-6.337369 107.279847
F0QW,RAYA SETU CIBUNTU,20-Jan-22,4,"56,9",0 hari 1 jam 2 menit,Menengah,CIBUNTU,CIBITUNG,BEKASI,17520,-6.293468 107.068367
F9MH,SENTRA KIIC,28-Jan-22,4,"33,1",0 hari 0 jam 36 menit,DK,SUKALUYU,TELUKJAMBE TIMUR,KARAWANG,41360,-6.358372 107.2822
TEK9,RAYA CITARIK,31-Jan-22,4,"15,2",0 hari 0 jam 16 menit,DK,CITARIK,TIRTAMULYA,KARAWANG,41372,-6.354986 107.466678
FV00,PASANGGRAHAN,10-Feb-22,4,"68,1",0 hari 1 jam 14 menit,Menengah,PASANGGRAHAN,KASOMALANG,SUBANG,41287,-6.706483 107.729425
TJC7,BOULEVARD GRAND WISATA,10-Feb-22,4,56,0 hari 1 jam 1 menit,Menengah,LAMBANGSARI,TAMBUN SELATAN,BEKASI,17510,-6.275869 107.044792
TPNC,CISEUTI,25-Feb-22,4,"65,8",0 hari 1 jam 12 menit,Menengah,CURUG RENDENG,JALAN CAGAK,SUBANG,41281,-6.674317 107.674042
TSW0,KARANGANYAR BEKASI,26-Feb-22,4,59,0 hari 1 jam 4 menit,Menengah,KARANGANYAR,KARANG BAHAGIA,BEKASI,17530,-6.215744 107.188014
T5EV,FRAMBOSA,19-Mar-22,4,"66,3",0 hari 1 jam 12 menit,Menengah,PEDURENAN,MUSTIKAJAYA,KOTA BEKASI,17156,-6.325406 106.997242
TCMP,PATIMBAN,26-Mar-22,4,"62,5",0 hari 1 jam 8 menit,Menengah,PATIMBAN,PUSAKANAGARA,SUBANG,41265,-6.250658 107.903403
F2J4,PESONA PERMATA HIJAU,7-Apr-22,4,"47,8",0 hari 0 jam 52 menit,Menengah,CIBOGO,CIBOGO,SUBANG,41285,-6.552533 107.811592
T9JB,GARON TIMUR,25-Apr-22,4,"69,6",0 hari 1 jam 16 menit,Menengah,SETIALAKSANA,CABANGBUNGIN,BEKASI,17720,-6.090694 107.184556
FI2V,RAYA MUTIARA BEKASI JAYA,27-Apr-22,4,"56,4",0 hari 1 jam 2 menit,Menengah,SIDANGMULYA,CIBARUSAH,BEKASI,17340,-6.410039 107.094419
FZU9,KEMANG GOLF,27-Apr-22,4,"67,7",0 hari 1 jam 14 menit,Menengah,BOJONG RAWA LUMBU,RAWA LUMBU,KOTA BEKASI,17116,-6.281828 106.983
T1S9,PRAMUKA-BEKASI,28-Apr-22,4,"62,1",0 hari 1 jam 8 menit,Menengah,MARGAJAYA,BEKASI SELATAN,KOTA BEKASI,17141,-6.244025 106.999828
TZ2Z,CICADAS BINONG,6-Mei-22,4,"59,5",0 hari 1 jam 5 menit,Menengah,CICADAS,BINONG,SUBANG,41253,-6.40725 107.793333
TFTS,POINT STASIUN KRANJI,20-Jun-22,3,"66,5",0 hari 1 jam 13 menit,Menengah,KRANJI,BEKASI BARAT,KOTA BEKASI,17135,-6.224689 106.979239
TFLV,GRAND CIKARANG CITY 2,30-Jun-22,3,"41,3",0 hari 0 jam 45 menit,Menengah,KEDUNGWARINGIN,KEDUNG WARINGIN,BEKASI,17540,-6.260242 107.264872
TBX2,KETAPANG BEKASI,13-Jul-22,3,"64,3",0 hari 1 jam 10 menit,Menengah,PEKAYONJAYA,BEKASI SELATAN,KOTA BEKASI,17148,-6.265086 106.985025
FZNG,CIBALADO KLARI,26-Jul-22,3,"26,1",0 hari 0 jam 28 menit,DK,KLARI,KLARI,KARAWANG,41371,-6.351403 107.355744
T6SJ,CIBENING INDAH,31-Jul-22,3,"62,8",0 hari 1 jam 9 menit,Menengah,CIBENING,SETU,BEKASI,17320,-6.347675 107.053533
TXX9,PEJUANG 45,31-Jul-22,3,"47,2",0 hari 0 jam 51 menit,Menengah,CIGADUNG,SUBANG,SUBANG,41213,-6.559931 107.762717
F0SK,RAWA ATUG,5-Agu-22,3,"62,7",0 hari 1 jam 8 menit,Menengah,CIBENING,SETU,BEKASI,17320,-6.351192 107.055906
TLOL,CIGUGUR SUBANG,31-Agu-22,3,"62,8",0 hari 1 jam 9 menit,Menengah,CIGUGUR KALER,PUSAKAJAYA,SUBANG,41255,-6.318839 107.899394
FIEV,SPBU TAMAN WANASARI INDAH,29-Sep-22,3,"60,7",0 hari 1 jam 6 menit,Menengah,WANASARI,CIBITUNG,BEKASI,17520,-6.241461 107.097758
T6YH,GRIYA ASRI 2,31-Okt-22,3,"63,6",0 hari 1 jam 9 menit,Menengah,SUMBER JAYA,TAMBUN SELATAN,BEKASI,17510,-6.223878 107.079717
T8XQ,ASEM JAYA,31-Okt-22,3,"60,8",0 hari 1 jam 6 menit,Menengah,MUSTIKAJAYA,MUSTIKAJAYA,KOTA BEKASI,17158,-6.306156 107.017425
TQOL,BOJONG TENGAH,14-Nov-22,3,"61,4",0 hari 1 jam 7 menit,Menengah,BOJONGJAYA,PUSAKAJAYA,SUBANG,41255,-6.318339 107.868003
TVRH,WARGASETRA,20-Nov-22,3,58,0 hari 1 jam 3 menit,Menengah,WARGASETRA,TEGALWARU,KARAWANG,41362,-6.522239 107.222550
FHES,GRAND SUBANG RESIDENCE,30-Nov-22,3,"44,4",0 hari 0 jam 48 menit,Menengah,BELENDUNG,CIBOGO,SUBANG,41285,"-6.541206, 107.794508"
TLNP,BENDUNGAN SUBANG,30-Nov-22,3,"59,1",0 hari 1 jam 5 menit,Menengah,BENDUNGAN,PAGADEN BARAT,SUBANG,41252,"-6.464342, 107.762303"
TXEV,PEREMPATAN CIRATA,24-Des-22,3,"43,3",0 hari 0 jam 47 menit,Menengah,CADASSARI,TEGALWARU,PURWAKARTA,41165,"-6.671531, 107.356992"
TD5K,KARTIKA RESINDENCE,27-Des-22,3,"25,6",0 hari 0 jam 28 menit,DK,KLARI,KLARI,KARAWANG,41371,"-6.346764, 107.351625"
FN6E,SINDANG LAYA,28-Des-22,3,"83,2",0 hari 1 jam 31 menit,Menengah,SINDANGLAYA,TANJUNGSIANG,SUBANG,41284,"-6.729253, 107.811011"
TC2K,CITRA VILLA WANASARI,31-Des-22,3,"59,7",0 hari 1 jam 5 menit,Menengah,WANASARI,CIBITUNG,BEKASI,17520,"-6.243772, 107.088450"
T2VO,BENTENG MUTIARA MAS,24-Jan-23,3,"16,2",0 hari 0 jam 17 menit,DK,BENTENG,CAMPAKA,PURWAKARTA,41180,"-6.514947, 107.494094"
FPE1,GARDEN CITY RESIDENCE,27-Jan-23,3,"17,2",0 hari 0 jam 18 menit,DK,CENGKONG,PURWASARI,KARAWANG,41377,"-6.366639, 107.404631"
FXUN,HARMONI MUKTIWARI,28-Mar-23,3,"65,1",0 hari 1 jam 11 menit,Menengah,MUKTIWARI,CIBITUNG,BEKASI,17520,"-6.210789, 107.095964"
T7YT,RAYA KAPTEN HANAFIAH,5-Apr-23,3,"46,7",0 hari 0 jam 51 menit,Menengah,KARANGANYAR,SUBANG,SUBANG,41211,"-6.559653, 107.781583"
TEWE,TANJUNG WANGI,17-Apr-23,3,"58,8",0 hari 1 jam 4 menit,Menengah,TANJUNGWANGI,CIJAMBE,SUBANG,41286,"-6.604764, 107.734322"
FDC6,BUANA TAMAN SARI,22-Mei-23,3,"27,8",0 hari 0 jam 30 menit,DK,MARGASARI,KARAWANG TIMUR,KARAWANG,41313,"-6.312664, 107.333589"
FHC9,HARMONI KERTAMUKTI,30-Jun-23,2,"65,5",0 hari 1 jam 12 menit,Menengah,KERTAMUKTI,CIBITUNG,BEKASI,17520,"-6.225531, 107.113169"
T8RA,GRAND LAKE BOULEVARD,1-Jul-23,2,"58,3",0 hari 1 jam 4 menit,Menengah,LAMBANGSARI,TAMBUN SELATAN,BEKASI,17510,"-6.294511, 107.044194"
TS0E,PALASARI CIATER,1-Jul-23,2,"70,3",0 hari 1 jam 17 menit,Menengah,PALASARI,CIATER,SUBANG,41280,"-6.715158, 107.667603"
FGOB,BINTARA JAYA,8-Jul-23,2,"68,6",0 hari 1 jam 15 menit,Menengah,BINTARA JAYA,BEKASI BARAT,KOTA BEKASI,17520,"-6.240319, 106.945814"
T4JS,SUKASARI SUBANG,7-Agu-23,2,"46,3",0 hari 0 jam 50 menit,Menengah,SUKASARI,SUKASARI,SUBANG,41280,"-6.291253, 107.785725"
TUEU,GUNUNG TUA,8-Agu-23,2,"55,1",0 hari 1 jam 0 menit,Menengah,GUNUNGTUA,CIJAMBE,SUBANG,41286,"-6.624689, 107.724349"
TJN0,HMMI (Hyundai Motor Manucfaturing Indo),10-Agu-23,2,"46,2",0 hari 0 jam 50 menit,Menengah,SUKAMUKTI,BOJONG MANGU,BEKASI,17350,"-6.405222, 107.188747"
FBPF,RUKO 3 BISNIS,16-Agu-23,2,"34,2",0 hari 0 jam 37 menit,DK,TANJUNGPURA,KARAWANG BARAT,KARAWANG,41316,"-6.279692, 107.286669"
